,titles,sources
46,"Jelang Tes Kesehatan, Sandi: Berat Badan Saya Turun Hampir 3 Kg",detik.com
47,"Alamat Situs Prabowo-Sandi Dijual Rp 1 M, Sandiaga: Mahal Banget",detik.com
48,Koalisi Jokowi Gaet Ulama untuk Masuk dalam Tim Pemenangan,detik.com
49,Gaya Putri Maruf Amin Antar Ayahnya Tes Kesehatan di RSPAD,detik.com
50,Potret Bodi Kekar Kaesang Saat Temani Jokowi Tes Kesehatan,detik.com
51,Foto Jokowi-Maruf Amin Pakai Baju Pasien Sebelum Tes Kesehatan,detik.com
52,Foto: Beda Gaya Pakaian Jokowi-Maruf saat Tes Kesehatan di RSPAD,detik.com
53,Foto: Jokowi-Maruf Jalani Tes Kesehatan di RSPAD,detik.com
54,Potret Anak-anak Mahfud MD yang Ternyata Berprofesi Sebagai Dokter,detik.com
55,Sandiaga soal Stadion Persija: Insyaallah Jadi Sama Pak Anies,detik.com
56,Waketum PPP: Sandi Dipaksa Jadi Santri,detik.com
57,"KPU: Tes Kesehatan Capres-Cawapres Cuma Sekali, Tak Bisa Digugat",detik.com
58,Tahapan Pemilihan Presiden 2019,detik.com
59,Peluang Duet Prabowo-AHY dan Sejarah Koalisi Gerindra-PD,detik.com
60,Mereka Calon Lawan Tanding Jokowi,detik.com
61,Mega dan Keputusan Penting dari Istana Batu Tulis,detik.com
62,"Kisah Unik Perpolitikan Indonesia: Dulu Kawan, Kini Lawan",detik.com
63,Pemanasan Jokowi Vs Prabowo Jelang Pilpres 2019,detik.com
64,Sederet Nama Sekjen Parpol Tim Kampaye Jokowi-Maruf,detik.com
65," Akhirnya, Jokowi-Maruf Amin Selesai Jalani Tes Kesehatan",detik.com
66,PPP Sindir Sandi Santri Dadakan,detik.com
67,"Nggak Cuma Prabowo-Sandi, Situs Jokowi-Maruf Dijual Rp 2 M",detik.com
68,Mulai Besok Jurkam Jokowi-Maruf Amin Mulai Latihan,detik.com
69,Kata Luhut Soal Alasan Jokowi Pilih Maruf Amin,detik.com
70,Sandiaga yang Tak Henti-henti Dengungkan Partai Emak-emak,detik.com
71,"Luhut: Usai Keluar Penjara, Ahok Kampanyekan Jokowi",detik.com
72,"Kemeja Bersih, Merakyat, Kerja Nyata Jokowi yang Kian Mentereng",detik.com
73,"Kaesang: Bapak Tinju Aja Bisa, Masa Cek Kesehatan Nggak Bisa",detik.com
74,"Fahri Bikin Polling di Twitter, Hanura: Kayak Orang Galau!",detik.com
75,KPU: Tes Kesehatan Bukan Penentu Lolos Tidaknya Capres-Cawapres,detik.com
76,Politikus Gerindra: Saya Belum Lihat Jokowi Menang Polling Medsos,detik.com
77,Kubu-Kubuan Politik dan Pelajaran Rekonsiliasi,detik.com
78,Marhaban Duet Jokowi-Maruf Amin,detik.com
79,Skenario Politik Prabowo,detik.com
80,"Pendukung Prabowo Jalan Kaki, Begini Suasana di Menteng",detik.com
81,"Prabowo-Sandiaga Daftar ke KPU, Lalin Macet",detik.com
82,"Jokowi Menuju KPU, Begini Suasana di Depan Gedung Joang 45",detik.com
83,Relawan Jokowi Kenakan Pakaian Adat di Gedung Joang 45,detik.com
84,Politikus Gerindra: Saya Belum Lihat Jokowi Menang Polling Medsos,detik.com
85,"Gelar Rapat, Sekjen Parpol Koalisi Jokowi Kompak Berkemeja Putih",detik.com
86,Mulai Besok Jurkam Jokowi-Maruf Amin Mulai Latihan,detik.com
87,"Pidato Kebangsaan, Ini Pesan Ketum Muhammadiyah di Pilpres 2019",detik.com
88,"Sebelum Rakor dengan Pramono, Koalisi Jokowi Koordinasi ke Teten",detik.com
89,KPU Tetapkan Pasangan Capres-Cawapres 20 September 2018,detik.com
90,Begini Cara Koalisi Jokowi Redam Kekecewaan Terpilihnya Maruf Amin,detik.com
91,Gaya Putri Maruf Amin Antar Ayahnya Tes Kesehatan di RSPAD,detik.com
92,Potret Bodi Kekar Kaesang Saat Temani Jokowi Tes Kesehatan,detik.com
93,Foto Jokowi-Maruf Amin Pakai Baju Pasien Sebelum Tes Kesehatan,detik.com
94,Foto: Beda Gaya Pakaian Jokowi-Maruf saat Tes Kesehatan di RSPAD,detik.com
95,Foto: Jokowi-Maruf Jalani Tes Kesehatan di RSPAD,detik.com
96,Potret Anak-anak Mahfud MD yang Ternyata Berprofesi Sebagai Dokter,detik.com
97,"Prabowo Calon Ideal di Polling Fahri, PAN: Kelihatannya Independen",detik.com
98,"Prabowo Calon Ideal Versi Polling Fahri, Golkar: Ah, Haters Jokowi",detik.com
99,"Ramai Meme Prabowo Menang di Survei, Indo Barometer: Hoax!",detik.com
100,Tahapan Pemilihan Presiden 2019,detik.com
101,Peluang Duet Prabowo-AHY dan Sejarah Koalisi Gerindra-PD,detik.com
102,Mereka Calon Lawan Tanding Jokowi,detik.com
103,Mega dan Keputusan Penting dari Istana Batu Tulis,detik.com
104,"Kisah Unik Perpolitikan Indonesia: Dulu Kawan, Kini Lawan",detik.com
105,Pemanasan Jokowi Vs Prabowo Jelang Pilpres 2019,detik.com
106,Sederet Nama Sekjen Parpol Tim Kampaye Jokowi-Maruf,detik.com
107," Akhirnya, Jokowi-Maruf Amin Selesai Jalani Tes Kesehatan",detik.com
108,PPP Sindir Sandi Santri Dadakan,detik.com
109,"Nggak Cuma Prabowo-Sandi, Situs Jokowi-Maruf Dijual Rp 2 M",detik.com
110,Mulai Besok Jurkam Jokowi-Maruf Amin Mulai Latihan,detik.com
111,Kata Luhut Soal Alasan Jokowi Pilih Maruf Amin,detik.com
112,Sandiaga yang Tak Henti-henti Dengungkan Partai Emak-emak,detik.com
113,"Luhut: Usai Keluar Penjara, Ahok Kampanyekan Jokowi",detik.com
114,"Kemeja Bersih, Merakyat, Kerja Nyata Jokowi yang Kian Mentereng",detik.com
115,"Kaesang: Bapak Tinju Aja Bisa, Masa Cek Kesehatan Nggak Bisa",detik.com
116,"Koalisi Pro-Jokowi Rapat di Posko Cemara, Pramono Anung Ikut",detik.com
117,Kata Luhut Soal Alasan Jokowi Pilih Maruf Amin,detik.com
118,Begini Sosok Pemimpin yang Diinginkan Muhammadiyah,detik.com
119,Kubu-Kubuan Politik dan Pelajaran Rekonsiliasi,detik.com
120,Marhaban Duet Jokowi-Maruf Amin,detik.com
121,Skenario Politik Prabowo,detik.com
122,"Pendukung Prabowo Jalan Kaki, Begini Suasana di Menteng",detik.com
123,"Prabowo-Sandiaga Daftar ke KPU, Lalin Macet",detik.com
124,"Jokowi Menuju KPU, Begini Suasana di Depan Gedung Joang 45",detik.com
125,Relawan Jokowi Kenakan Pakaian Adat di Gedung Joang 45,detik.com
126,Begini Sosok Pemimpin yang Diinginkan Muhammadiyah,detik.com
127,"Luhut: Keluar Penjara, Ahok Kampanyekan Jokowi-Maruf Amin",detik.com
128,Demokrat Tak Ikut Antar Prabowo-Sandiaga Tes Kesehatan Besok,detik.com
129,"Polling Pilpres Fahri: Prabowo Calon Ideal, Jokowi Tak Ideal",detik.com
130,Mahfud Md Jelaskan Drama Batal Jadi Cawapres Pekan Depan,detik.com
131,IDI: Tim Dokter Tak Bisa Tentukan Lolos Tidaknya Capres-Cawapres,detik.com
132,Politikus PDIP Bela Maruf Amin: Ratna Sarumpaet Serampangan!,detik.com
133,Gaya Putri Maruf Amin Antar Ayahnya Tes Kesehatan di RSPAD,detik.com
134,Potret Bodi Kekar Kaesang Saat Temani Jokowi Tes Kesehatan,detik.com
135,Foto Jokowi-Maruf Amin Pakai Baju Pasien Sebelum Tes Kesehatan,detik.com
136,Foto: Beda Gaya Pakaian Jokowi-Maruf saat Tes Kesehatan di RSPAD,detik.com
137,Foto: Jokowi-Maruf Jalani Tes Kesehatan di RSPAD,detik.com
138,Potret Anak-anak Mahfud MD yang Ternyata Berprofesi Sebagai Dokter,detik.com
139,"Jokowi-Maruf Tes Kesehatan, Ini Ragam Tes Kesehatan yang Mewajibkan Puasa",detik.com
140,Masa Lalu Ahok-Maruf Amin: dari Persidangan Hingga Pilpres 2019,detik.com
141,Tes Kesehatan Jokowi-Maruf dan Prabowo-Sandi Pakai Alat Canggih,detik.com
142,Tahapan Pemilihan Presiden 2019,detik.com
143,Peluang Duet Prabowo-AHY dan Sejarah Koalisi Gerindra-PD,detik.com
144,Mereka Calon Lawan Tanding Jokowi,detik.com
145,Mega dan Keputusan Penting dari Istana Batu Tulis,detik.com
146,"Kisah Unik Perpolitikan Indonesia: Dulu Kawan, Kini Lawan",detik.com
147,Pemanasan Jokowi Vs Prabowo Jelang Pilpres 2019,detik.com
148,Sederet Nama Sekjen Parpol Tim Kampaye Jokowi-Maruf,detik.com
149," Akhirnya, Jokowi-Maruf Amin Selesai Jalani Tes Kesehatan",detik.com
150,PPP Sindir Sandi Santri Dadakan,detik.com
151,"Nggak Cuma Prabowo-Sandi, Situs Jokowi-Maruf Dijual Rp 2 M",detik.com
152,Mulai Besok Jurkam Jokowi-Maruf Amin Mulai Latihan,detik.com
153,Kata Luhut Soal Alasan Jokowi Pilih Maruf Amin,detik.com
154,Sandiaga yang Tak Henti-henti Dengungkan Partai Emak-emak,detik.com
155,"Luhut: Usai Keluar Penjara, Ahok Kampanyekan Jokowi",detik.com
156,"Kemeja Bersih, Merakyat, Kerja Nyata Jokowi yang Kian Mentereng",detik.com
157,"Kaesang: Bapak Tinju Aja Bisa, Masa Cek Kesehatan Nggak Bisa",detik.com
158,Luhut: Maruf Amin Jadi Nuansa Baru untuk Jokowi,detik.com
159,Ridwan Kamil Akui Belum Dapat Tawaran Jadi Timses Jokowi,detik.com
160,"Kemeja Bersih, Merakyat, Kerja Nyata Jokowi yang Kian Mentereng",detik.com
161,Kubu-Kubuan Politik dan Pelajaran Rekonsiliasi,detik.com
162,Marhaban Duet Jokowi-Maruf Amin,detik.com
163,Skenario Politik Prabowo,detik.com
164,"Pendukung Prabowo Jalan Kaki, Begini Suasana di Menteng",detik.com
165,"Prabowo-Sandiaga Daftar ke KPU, Lalin Macet",detik.com
166,"Jokowi Menuju KPU, Begini Suasana di Depan Gedung Joang 45",detik.com
167,Relawan Jokowi Kenakan Pakaian Adat di Gedung Joang 45,detik.com
168,"Kemeja Bersih, Merakyat, Kerja Nyata Jokowi yang Kian Mentereng",detik.com
169,Hasil Tes Kesehatan Jokowi-Maruf Diserahkan ke KPU Maksimal Lusa,detik.com
170,Luhut: Seribu Persen Ahok Tak Marah Jokowi Pilih Maruf Amin,detik.com
171,"Usai Tes Kesehatan Besok, Sandiaga akan Lapor LHKPN ke KPK",detik.com
172,"Luhut: Ahok Senang Jokowi Pilih Maruf, Ingin Ikut Kampanye",detik.com
173,Jokowi Ikut Rakor 9 Sekjen Koalisi Usai Tes Kesehatan,detik.com
174,"Kelakar Kaesang Soal Jokowi, Tinju, dan Tes Kesehatan",detik.com
175,Gaya Putri Maruf Amin Antar Ayahnya Tes Kesehatan di RSPAD,detik.com
176,Potret Bodi Kekar Kaesang Saat Temani Jokowi Tes Kesehatan,detik.com
177,Foto Jokowi-Maruf Amin Pakai Baju Pasien Sebelum Tes Kesehatan,detik.com
178,Foto: Beda Gaya Pakaian Jokowi-Maruf saat Tes Kesehatan di RSPAD,detik.com
179,Foto: Jokowi-Maruf Jalani Tes Kesehatan di RSPAD,detik.com
180,Potret Anak-anak Mahfud MD yang Ternyata Berprofesi Sebagai Dokter,detik.com
181,PAN soal Isu Mahar Rp 500 M: Ada Ketidakpuasan soal Cawapres,detik.com
182,Eks Seskab Pimpin Deklarasi Purnawirawan TNI Dukung Jokowi-Maruf,detik.com
183,"Jokowi-Maruf Tes Kesehatan hingga 12 Jam, Ini Rangkaiannya",detik.com
184,Tahapan Pemilihan Presiden 2019,detik.com
185,Peluang Duet Prabowo-AHY dan Sejarah Koalisi Gerindra-PD,detik.com
186,Mereka Calon Lawan Tanding Jokowi,detik.com
187,Mega dan Keputusan Penting dari Istana Batu Tulis,detik.com
188,"Kisah Unik Perpolitikan Indonesia: Dulu Kawan, Kini Lawan",detik.com
189,Pemanasan Jokowi Vs Prabowo Jelang Pilpres 2019,detik.com
190,Sederet Nama Sekjen Parpol Tim Kampaye Jokowi-Maruf,detik.com
191," Akhirnya, Jokowi-Maruf Amin Selesai Jalani Tes Kesehatan",detik.com
192,PPP Sindir Sandi Santri Dadakan,detik.com
193,"Nggak Cuma Prabowo-Sandi, Situs Jokowi-Maruf Dijual Rp 2 M",detik.com
194,Mulai Besok Jurkam Jokowi-Maruf Amin Mulai Latihan,detik.com
195,Kata Luhut Soal Alasan Jokowi Pilih Maruf Amin,detik.com
196,Sandiaga yang Tak Henti-henti Dengungkan Partai Emak-emak,detik.com
197,"Luhut: Usai Keluar Penjara, Ahok Kampanyekan Jokowi",detik.com
198,"Kemeja Bersih, Merakyat, Kerja Nyata Jokowi yang Kian Mentereng",detik.com
199,"Kaesang: Bapak Tinju Aja Bisa, Masa Cek Kesehatan Nggak Bisa",detik.com
200,"Ratna Sarumpaet Serang Maruf, Putri: Riwayat Kesehatan Bapak Baik",detik.com
201,"Tepis Jebakan Batman, PKB: Jokowi Pilih Maruf Lewat Pertimbangan",detik.com
202,"Jokowi-Maruf Tes Kesehatan, Ini Perlunya Puasa Sebelum Check-up",detik.com
203,Kubu-Kubuan Politik dan Pelajaran Rekonsiliasi,detik.com
204,Marhaban Duet Jokowi-Maruf Amin,detik.com
205,Skenario Politik Prabowo,detik.com
206,"Pendukung Prabowo Jalan Kaki, Begini Suasana di Menteng",detik.com
207,"Prabowo-Sandiaga Daftar ke KPU, Lalin Macet",detik.com
208,"Jokowi Menuju KPU, Begini Suasana di Depan Gedung Joang 45",detik.com
209,Relawan Jokowi Kenakan Pakaian Adat di Gedung Joang 45,detik.com
210,"Jokowi-Maruf Tes Kesehatan, Ini Perlunya Puasa Sebelum Check-up",detik.com
211,Dradjad: Tak Satu Sen Pun Diberikan Sandiaga ke PAN!,detik.com
212,IDI: Jokowi-Maruf Jalani Tes Kesehatan hingga 12 Jam,detik.com
213,Parpol Koalisi Jokowi Latih Juru Kampanye Besok,detik.com
214,"Soal Kemeja Jokowi, Kaesang: Bapak Sudah Gaul dan Millenial",detik.com
215,"Sandiaga Siap Rogoh Kocek untuk Kampanye, Ada Bantuan untuk Parpol",detik.com
216,Sandi soal Maruf Amin: Saya dan Prabowo Sangat Memuliakan Kiai,detik.com
217,Gaya Putri Maruf Amin Antar Ayahnya Tes Kesehatan di RSPAD,detik.com
218,Potret Bodi Kekar Kaesang Saat Temani Jokowi Tes Kesehatan,detik.com
219,Foto Jokowi-Maruf Amin Pakai Baju Pasien Sebelum Tes Kesehatan,detik.com
220,Foto: Beda Gaya Pakaian Jokowi-Maruf saat Tes Kesehatan di RSPAD,detik.com
221,Foto: Jokowi-Maruf Jalani Tes Kesehatan di RSPAD,detik.com
222,Potret Anak-anak Mahfud MD yang Ternyata Berprofesi Sebagai Dokter,detik.com
223,Sandiaga Tegaskan Mahar Rp 500 M Tidak Benar,detik.com
224,Ini Kata Kaesang Soal Baju Bersih-Merakyat-Kerja Nyata Jokowi,detik.com
225,"Jokowi Tes Kesehatan di RSPAD, Kaesang: Sarapannya Sang Pisang",detik.com
226,Tahapan Pemilihan Presiden 2019,detik.com
227,Peluang Duet Prabowo-AHY dan Sejarah Koalisi Gerindra-PD,detik.com
228,Mereka Calon Lawan Tanding Jokowi,detik.com
229,Mega dan Keputusan Penting dari Istana Batu Tulis,detik.com
230,"Kisah Unik Perpolitikan Indonesia: Dulu Kawan, Kini Lawan",detik.com
231,Pemanasan Jokowi Vs Prabowo Jelang Pilpres 2019,detik.com
232,Sederet Nama Sekjen Parpol Tim Kampaye Jokowi-Maruf,detik.com
233," Akhirnya, Jokowi-Maruf Amin Selesai Jalani Tes Kesehatan",detik.com
234,PPP Sindir Sandi Santri Dadakan,detik.com
235,"Nggak Cuma Prabowo-Sandi, Situs Jokowi-Maruf Dijual Rp 2 M",detik.com
236,Mulai Besok Jurkam Jokowi-Maruf Amin Mulai Latihan,detik.com
237,Kata Luhut Soal Alasan Jokowi Pilih Maruf Amin,detik.com
238,Sandiaga yang Tak Henti-henti Dengungkan Partai Emak-emak,detik.com
239,"Luhut: Usai Keluar Penjara, Ahok Kampanyekan Jokowi",detik.com
240,"Kemeja Bersih, Merakyat, Kerja Nyata Jokowi yang Kian Mentereng",detik.com
241,"Kaesang: Bapak Tinju Aja Bisa, Masa Cek Kesehatan Nggak Bisa",detik.com
242,"Kaesang: Bapak Tinju Aja Bisa, Masa Cek Kesehatan Nggak Bisa",detik.com
243,Sandiaga Doakan Jokowi-Maruf Amin Lancar Tes Kesehatan,detik.com
244,"Pakai Baju Pasien, Jokowi-Maruf Tunjukkan Bekas Cek Darah",detik.com
245,Kubu-Kubuan Politik dan Pelajaran Rekonsiliasi,detik.com
246,Marhaban Duet Jokowi-Maruf Amin,detik.com
247,Skenario Politik Prabowo,detik.com
248,"Pendukung Prabowo Jalan Kaki, Begini Suasana di Menteng",detik.com
249,"Prabowo-Sandiaga Daftar ke KPU, Lalin Macet",detik.com
250,"Jokowi Menuju KPU, Begini Suasana di Depan Gedung Joang 45",detik.com
251,Relawan Jokowi Kenakan Pakaian Adat di Gedung Joang 45,detik.com
252,"Pakai Baju Pasien, Jokowi-Maruf Tunjukkan Bekas Cek Darah",detik.com
253,"Andi Arief: Sandi Akui Soal Rp 500 M, PAN-PKS Tak Perlu Minta Maaf",detik.com
254,Sandiaga Soal Juru Kampanye: Banyak yang Minta AHY,detik.com
255,Sekjen Parpol Gelar Rakor Usai Dampingi Jokowi Tes Kesehatan,detik.com
256,"Tes Kesehatan, Jokowi: Saya dan Pak Maruf Puasa dari Semalam",detik.com
257,"Gaya Kemeja Baru Jokowi Bersih, Merakyat, Kerja Nyata di Tes Kesehatan",detik.com
258,"Batal Ikut Lomba Renang di Ancol, Sandiaga: Saya Kurang Tidur",detik.com
259,Gaya Putri Maruf Amin Antar Ayahnya Tes Kesehatan di RSPAD,detik.com
260,Potret Bodi Kekar Kaesang Saat Temani Jokowi Tes Kesehatan,detik.com
261,Foto Jokowi-Maruf Amin Pakai Baju Pasien Sebelum Tes Kesehatan,detik.com
262,Foto: Beda Gaya Pakaian Jokowi-Maruf saat Tes Kesehatan di RSPAD,detik.com
263,Foto: Jokowi-Maruf Jalani Tes Kesehatan di RSPAD,detik.com
264,Potret Anak-anak Mahfud MD yang Ternyata Berprofesi Sebagai Dokter,detik.com
265,"Tes Kesehatan di RSPAD, Jokowi-Maruf Didampingi Putra Putri",detik.com
266,"Sejarah Prabowo Disinggung NasDem, Gerindra Ungkit Kasus Rio Capella",detik.com
267,Tudingan Andi Arief soal Strategi Kardus Rp 500 M Sandi,detik.com
268,Tahapan Pemilihan Presiden 2019,detik.com
269,Peluang Duet Prabowo-AHY dan Sejarah Koalisi Gerindra-PD,detik.com
270,Mereka Calon Lawan Tanding Jokowi,detik.com
271,Mega dan Keputusan Penting dari Istana Batu Tulis,detik.com
272,"Kisah Unik Perpolitikan Indonesia: Dulu Kawan, Kini Lawan",detik.com
273,Pemanasan Jokowi Vs Prabowo Jelang Pilpres 2019,detik.com
274,Sederet Nama Sekjen Parpol Tim Kampaye Jokowi-Maruf,detik.com
275," Akhirnya, Jokowi-Maruf Amin Selesai Jalani Tes Kesehatan",detik.com
276,PPP Sindir Sandi Santri Dadakan,detik.com
277,"Nggak Cuma Prabowo-Sandi, Situs Jokowi-Maruf Dijual Rp 2 M",detik.com
278,Mulai Besok Jurkam Jokowi-Maruf Amin Mulai Latihan,detik.com
279,Kata Luhut Soal Alasan Jokowi Pilih Maruf Amin,detik.com
280,Sandiaga yang Tak Henti-henti Dengungkan Partai Emak-emak,detik.com
281,"Luhut: Usai Keluar Penjara, Ahok Kampanyekan Jokowi",detik.com
282,"Kemeja Bersih, Merakyat, Kerja Nyata Jokowi yang Kian Mentereng",detik.com
283,"Kaesang: Bapak Tinju Aja Bisa, Masa Cek Kesehatan Nggak Bisa",detik.com
284,"Naik Innova Bareng, Jokowi-Maruf Amin Tiba di RSPAD",detik.com
285,"Jokowi-Maruf Tes Kesehatan, Sekjen Parpol Ingatkan Puasa",detik.com
286,"Ratna Serang Maruf Amin, Hanura: Sakit Jiwa!",detik.com
287,Kubu-Kubuan Politik dan Pelajaran Rekonsiliasi,detik.com
288,Marhaban Duet Jokowi-Maruf Amin,detik.com
289,Skenario Politik Prabowo,detik.com
290,"Pendukung Prabowo Jalan Kaki, Begini Suasana di Menteng",detik.com
291,"Prabowo-Sandiaga Daftar ke KPU, Lalin Macet",detik.com
292,"Jokowi Menuju KPU, Begini Suasana di Depan Gedung Joang 45",detik.com
293,Relawan Jokowi Kenakan Pakaian Adat di Gedung Joang 45,detik.com
294,"Ratna Serang Maruf Amin, Hanura: Sakit Jiwa!",detik.com
295,"Tes Kesehatan, Jokowi-Maruf Didampingi 8 Sekjen Parpol Koalisi",detik.com
296,"Tes Kesehatan, Jokowi-Maruf Berangkat Bareng dari Istana ke RSPAD",detik.com
297,Gerindra Yakin Prabowo-Sandi Didukung Ijtimak Ulama II,detik.com
298,"Jelang Tes Kesehatan Capres-Cawapres, RSPAD Dijaga TNI-Polri",detik.com
299,"Ratna Serang Maruf Amin, Golkar: Semoga Hatinya Terbuka",detik.com
300,"Kode Wabillahi Taufik Pengganti Wagub DKI, Ini Kata Gerindra",detik.com
301,Gaya Putri Maruf Amin Antar Ayahnya Tes Kesehatan di RSPAD,detik.com
302,Potret Bodi Kekar Kaesang Saat Temani Jokowi Tes Kesehatan,detik.com
303,Foto Jokowi-Maruf Amin Pakai Baju Pasien Sebelum Tes Kesehatan,detik.com
304,Foto: Beda Gaya Pakaian Jokowi-Maruf saat Tes Kesehatan di RSPAD,detik.com
305,Foto: Jokowi-Maruf Jalani Tes Kesehatan di RSPAD,detik.com
306,Potret Anak-anak Mahfud MD yang Ternyata Berprofesi Sebagai Dokter,detik.com
307,"Persiapan Tes Kesehatan, Sandi Lari 5 KM di Acara Ancol Aquathlon",detik.com
308,Akankah Maruf Amin Mundur dari Jabatan Rais Aam?,detik.com
309,"Prabowo Diminta Luhut Tak Pakai Isu Agama, PD: Jokowi Mampu?",detik.com
310,Tahapan Pemilihan Presiden 2019,detik.com
311,Peluang Duet Prabowo-AHY dan Sejarah Koalisi Gerindra-PD,detik.com
312,Mereka Calon Lawan Tanding Jokowi,detik.com
313,Mega dan Keputusan Penting dari Istana Batu Tulis,detik.com
314,"Kisah Unik Perpolitikan Indonesia: Dulu Kawan, Kini Lawan",detik.com
315,Pemanasan Jokowi Vs Prabowo Jelang Pilpres 2019,detik.com
316,Sederet Nama Sekjen Parpol Tim Kampaye Jokowi-Maruf,detik.com
317," Akhirnya, Jokowi-Maruf Amin Selesai Jalani Tes Kesehatan",detik.com
318,PPP Sindir Sandi Santri Dadakan,detik.com
319,"Nggak Cuma Prabowo-Sandi, Situs Jokowi-Maruf Dijual Rp 2 M",detik.com
320,Mulai Besok Jurkam Jokowi-Maruf Amin Mulai Latihan,detik.com
321,Kata Luhut Soal Alasan Jokowi Pilih Maruf Amin,detik.com
322,Sandiaga yang Tak Henti-henti Dengungkan Partai Emak-emak,detik.com
323,"Luhut: Usai Keluar Penjara, Ahok Kampanyekan Jokowi",detik.com
324,"Kemeja Bersih, Merakyat, Kerja Nyata Jokowi yang Kian Mentereng",detik.com
325,"Kaesang: Bapak Tinju Aja Bisa, Masa Cek Kesehatan Nggak Bisa",detik.com
326,"Sebelum Tes Kesehatan, Maruf Amin Temui Jokowi di Istana",detik.com
327,"Ratna Serang Maruf, NasDem Singgung Sejarah Prabowo",detik.com
328,"Luhut Minta Prabowo Tak Pakai Isu Agama, PKS Setuju",detik.com
329,Kubu-Kubuan Politik dan Pelajaran Rekonsiliasi,detik.com
330,Marhaban Duet Jokowi-Maruf Amin,detik.com
331,Skenario Politik Prabowo,detik.com
332,"Pendukung Prabowo Jalan Kaki, Begini Suasana di Menteng",detik.com
